Date,FNCL 7 ALL Mtge,FNCL 6 ALL Mtge,FNCL 5.5 ALL Mtge,FNCL 5 ALL Mtge,FNCL 4.5 ALL Mtge,FNCL 4 ALL Mtge,FNCL 3.5 ALL Mtge,FNCL 3 ALL Mtge,FNCL 2.5 ALL Mtge,FNCL 2.5 ALL Mtge
1/1/2009,104.59375,103.078125,102.671875,102.265625,101.546875,100.421875,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/2/2009,104.6875,103.171875,102.546875,102.015625,101.171875,99.796875,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/5/2009,104.8125,103.359375,102.890625,102.390625,101.390625,100.046875,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/6/2009,105,103.984375,103.640625,103.328125,102.734375,101.265625,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/7/2009,104.9375,103.859375,103.546875,103.234375,102.515625,101.078125,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/8/2009,104.96875,104.015625,103.765625,103.390625,102.640625,101.234375,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/9/2009,105.4375,103.953125,103.671875,103.265625,102.515625,101.078125,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/12/2009,105,103.796875,103.484375,103.078125,102.203125,100.796875,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/13/2009,105.3125,103.796875,103.453125,103.046875,102.203125,100.796875,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/14/2009,105.125,103.765625,103.390625,102.984375,102.171875,100.859375,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/15/2009,105.09375,103.671875,103.234375,102.796875,101.984375,100.640625,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/16/2009,105.125,103.703125,103.203125,102.703125,101.796875,100.421875,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/19/2009,105.125,103.703125,103.203125,102.703125,101.796875,100.421875,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/20/2009,105.15625,103.609375,103.015625,102.484375,101.484375,100.171875,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/21/2009,105,103.390625,102.796875,102.203125,101.203125,99.828125,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/22/2009,105.03125,103.390625,102.796875,102.265625,101.328125,99.953125,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/23/2009,105.09375,103.359375,102.734375,102.234375,101.390625,100.078125,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/26/2009,105.125,103.296875,102.640625,102.109375,101.234375,99.921875,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/27/2009,105.125,103.390625,102.796875,102.265625,101.546875,100.328125,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/28/2009,105.0625,103.265625,102.640625,102.046875,101.234375,99.984375,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/29/2009,104.96875,103.078125,102.296875,101.484375,100.484375,99.203125,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/30/2009,105.03125,103.046875,102.328125,101.703125,100.734375,99.390625,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2/2/2009,105.1875,103.203125,102.578125,101.921875,100.953125,99.671875,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2/3/2009,105.125,103.046875,102.328125,101.640625,100.546875,98.953125,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2/4/2009,105.25,102.984375,102.234375,101.515625,100.578125,98.734375,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2/5/2009,105.25,103.078125,102.359375,101.671875,100.609375,98.734375,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2/6/2009,105.3125,103.046875,102.265625,101.703125,100.640625,99.015625,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2/9/2009,105.53125,103.234375,102.359375,101.828125,100.859375,99.296875,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2/10/2009,105.71875,103.453125,102.796875,102.515625,101.359375,99.828125,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2/11/2009,105.65625,103.328125,102.546875,102.078125,101.140625,99.703125,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2/12/2009,105.6875,103.328125,102.578125,102.046875,100.984375,99.390625,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2/13/2009,105.6875,103.234375,102.453125,101.890625,100.765625,99.046875,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2/16/2009,105.6875,103.234375,102.453125,101.890625,100.765625,99.046875,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2/17/2009,105.71875,103.359375,102.765625,102.234375,101.109375,99.578125,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2/18/2009,105.59375,103.234375,102.640625,102.109375,101.015625,99.390625,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2/19/2009,105.4375,103.046875,102.453125,101.890625,100.765625,98.984375,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2/20/2009,105.5625,103.109375,102.515625,101.953125,100.796875,99.109375,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2/23/2009,105.59375,103.171875,102.578125,102.171875,100.984375,99.203125,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2/24/2009,105.71875,103.234375,102.546875,102.015625,100.796875,98.859375,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2/25/2009,105.71875,103.234375,102.421875,101.734375,100.390625,98.328125,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2/26/2009,105.75,103.265625,102.453125,101.765625,100.359375,98.328125,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2/27/2009,105.875,103.390625,102.453125,101.734375,100.234375,98.171875,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
3/2/2009,106.3125,103.453125,102.671875,102.015625,100.703125,98.671875,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
3/3/2009,106.125,103.578125,102.859375,102.171875,100.734375,98.765625,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
3/4/2009,106.125,103.296875,102.671875,102.046875,100.671875,98.703125,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
3/5/2009,105.4375,103.453125,102.953125,102.359375,101.265625,99.203125,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
3/6/2009,105.78125,103.453125,102.890625,102.359375,101.140625,99.046875,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
3/9/2009,105.75,103.515625,103.015625,102.546875,101.265625,99.234375,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
